11:07::03 [init] AGV: 1 Online
11:07::03 [init] Mac: 01
11:07::03 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
11:07::03 [send] get power cmd
11:07::05 [send]agv=1 set path command: mode=100 start=46 end=43 
11:07::05 [recv] set Path:1
11:07::06 [proc]agv=:1, match:46
11:07::08 [send] get power cmd
11:07::08 [send] set path enable
11:07::08 [recv] enable Path:1
11:07::09 [send] get power cmd
11:07::10 [send] get power cmd
11:07::11 [send] get power cmd
11:07::12 [send] get power cmd
11:07::13 [send] get power cmd
11:07::14 [send] get power cmd
11:07::15 [send] get power cmd
11:07::16 [send] get power cmd
11:07::17 [send] get power cmd
11:07::18 [send] get power cmd
11:07::19 [proc] plan: currentID:43
11:07::19 [send] get power cmd
11:07::20 [send]agv=1 set path command: mode=100 start=43 end=44 
11:07::20 [recv] set Path:1
11:07::20 [send] get power cmd
11:07::21 [send] set path enable
11:07::21 [send] get power cmd
11:07::22 [send] set path enable
11:07::23 [send] get power cmd
11:07::23 [send] set path enable
11:07::24 [send] get power cmd
11:07::24 [send] set path enable
11:07::25 [send] get power cmd
11:07::25 [send] set path enable
11:07::26 [send] get power cmd
11:07::26 [send] set path enable
11:07::27 [send] get power cmd
11:07::27 [send] set path enable
11:07::28 [send] get power cmd
11:07::28 [send] set path enable
11:07::29 [send] get power cmd
11:07::29 [send] set path enable
11:07::30 [send] get power cmd
11:07::30 [send] set path enable
11:07::31 [send] get power cmd
11:07::32 [send] set path enable
11:07::32 [send] get power cmd
11:07::33 [send] set path enable
11:07::33 [send] get power cmd
11:07::34 [send] set path enable
11:07::34 [send] get power cmd
11:07::35 [send] set path enable
11:07::35 [send] get power cmd
11:07::36 [send] set path enable
11:07::37 [send] get power cmd
11:07::37 [send] set path enable
11:07::38 [send] get power cmd
11:07::38 [send] set path enable
11:07::39 [send] get power cmd
11:07::39 [send] set path enable
11:07::40 [send] get power cmd
11:07::40 [send] set path enable
11:07::41 [send] get power cmd
11:07::41 [send] set path enable
11:07::42 [send] get power cmd
11:07::43 [send] set path enable
11:07::43 [send] get power cmd
11:07::44 [send] set path enable
11:07::44 [send] get power cmd
11:07::45 [send] set path enable
11:07::46 [send] get power cmd
11:07::46 [send] set path enable
11:07::47 [send] get power cmd
11:07::47 [send] set path enable
11:07::48 [send] get power cmd
11:07::48 [send] set path enable
11:07::51 [send] get power cmd
11:07::51 [send] set path enable
11:07::52 [send] get power cmd
11:07::52 [send] set path enable
11:07::53 [send] get power cmd
11:07::53 [send] set path enable
11:07::54 [send] get power cmd
11:07::54 [send] set path enable
11:07::55 [send] get power cmd
11:07::55 [send] set path enable
11:07::56 [send] get power cmd
11:07::56 [send] set path enable
11:07::57 [send] get power cmd
11:07::57 [send] set path enable
11:07::58 [send] get power cmd
11:07::58 [send] set path enable
11:07::59 [send] get power cmd
11:07::59 [send] set path enable
11:08::00 [send] get power cmd
11:08::01 [send] set path enable
11:08::01 [send] get power cmd
11:08::02 [send] set path enable
11:08::02 [send] get power cmd
11:08::03 [send] set path enable
11:08::04 [send] get power cmd
11:08::05 [send] set path enable
11:08::06 [send] get power cmd
11:08::06 [send] set path enable
11:08::07 [send] get power cmd
11:08::07 [send] set path enable
11:08::08 [send] get power cmd
11:08::09 [send] set path enable
11:08::09 [send] get power cmd
11:08::10 [send] set path enable
