14:46::50 [init] AGV: 1 在线
14:46::50 [init] Mac: 01
14:46::50 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
14:46::51 [send] get power cmd
14:46::52 [send]agv=1 send path command: C1 start=2 end=1 后退 正常行驶 length 2 Degree 0
14:46::52 [send]agv=1 send path command: C2 start=1 end=1 停止 等待 length 0 Degree 0
14:46::52 [send] get power cmd
14:46::52 [recv] set Path:1
14:46::53 [send] get power cmd
14:46::54 [send] get power cmd
14:46::55 [send] get power cmd
14:46::56 [send] get power cmd
14:46::57 [send] get power cmd
14:46::58 [send] get power cmd
14:47::00 [send] get power cmd
14:47::01 [send] get power cmd
14:47::02 [send] get power cmd
14:47::03 [send] get power cmd
14:47::04 [send] get power cmd
14:47::05 [send] get power cmd
14:47::06 [send] get power cmd
14:47::07 [send] get power cmd
14:47::08 [send] get power cmd
14:47::09 [send] get power cmd
14:47::10 [send] get power cmd
14:47::11 [send] get power cmd
14:47::12 [send] get power cmd
14:47::13 [send] get power cmd
14:47::14 [send] get power cmd
14:47::15 [send] get power cmd
14:47::17 [send] get power cmd
14:47::18 [send] get power cmd
14:47::19 [send] get power cmd
14:47::20 [send] get power cmd
14:47::21 [send] get power cmd
14:47::22 [send] get power cmd
14:47::23 [send] get power cmd
14:47::24 [send] get power cmd
14:47::25 [send] get power cmd
14:47::26 [send] get power cmd
14:47::27 [send] get power cmd
14:47::28 [send] get power cmd
14:47::29 [send] get power cmd
14:47::30 [send] get power cmd
14:47::31 [send] get power cmd
14:47::32 [send] get power cmd
14:47::34 [send] get power cmd
14:47::35 [send] get power cmd
14:47::36 [send] get power cmd
14:47::37 [send] get power cmd
14:47::38 [send] get power cmd
14:47::39 [send] get power cmd
14:47::40 [send] get power cmd
14:47::41 [send] get power cmd
14:47::42 [send] get power cmd
14:47::43 [send] get power cmd
14:47::44 [send] get power cmd
14:47::45 [send] get power cmd
14:47::46 [send] get power cmd
14:47::47 [send] get power cmd
