14:06::30 [init] AGV: 8 Online
14:06::30 [init] Mac: 08
14:06::30 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
14:06::31 [recv] set Path:1
14:06::31 [recv] set Path:1
14:06::31 [recv] set Path:1
14:06::31 [recv] set Path:1
14:06::31 [recv] set Path:1
14:06::31 [recv] set Path:1
14:06::31 [recv] set Path:1
14:06::31 [recv] set Path:1
14:06::32 [recv] set Path:1
14:06::32 [recv] set Path:1
14:06::32 [recv] set Path:1
14:06::32 [recv] set Path:1
14:06::32 [recv] set Path:1
14:06::32 [recv] set Path:1
14:06::32 [recv] set Path:1
14:06::32 [recv] set Path:1
14:06::34 [send] set path enable
14:06::37 [recv] set Path:1
14:06::37 [recv] set Path:1
14:06::37 [recv] set Path:1
14:06::37 [recv] set Path:1
14:06::37 [recv] set Path:1
14:06::37 [recv] set Path:1
14:06::37 [recv] set Path:1
14:06::37 [recv] set Path:1
14:06::37 [recv] set Path:1
14:06::41 [send] set path enable
14:06::42 [recv] set Path:1
14:06::42 [recv] set Path:1
14:06::42 [recv] set Path:1
14:06::42 [recv] set Path:1
14:06::42 [recv] set Path:1
14:06::42 [recv] set Path:1
14:06::42 [recv] set Path:1
14:06::42 [recv] set Path:1
14:06::42 [recv] set Path:1
14:06::42 [recv] set Path:1
14:06::45 [send] set path enable
14:06::48 [recv] set Path:1
14:06::48 [recv] set Path:1
14:06::48 [recv] set Path:1
14:06::48 [recv] set Path:1
14:06::48 [recv] set Path:1
14:06::48 [recv] set Path:1
14:06::48 [recv] set Path:1
14:06::48 [recv] set Path:1
14:06::48 [recv] set Path:1
14:06::48 [recv] set Path:1
14:06::48 [recv] set Path:1
14:06::50 [send] set path enable
14:06::52 [recv] set Path:1
14:06::52 [recv] set Path:1
14:06::52 [recv] set Path:1
14:06::52 [recv] set Path:1
14:06::52 [recv] set Path:1
14:06::52 [recv] set Path:1
14:06::52 [recv] set Path:1
14:06::52 [recv] set Path:1
14:06::52 [recv] set Path:1
14:06::52 [recv] set Path:1
14:06::52 [recv] set Path:1
14:06::53 [send] set path enable
14:06::56 [recv] set Path:1
14:06::56 [recv] set Path:1
14:06::56 [recv] set Path:1
14:06::56 [recv] set Path:1
14:06::56 [recv] set Path:1
14:06::56 [recv] set Path:1
14:06::56 [recv] set Path:1
14:06::56 [recv] set Path:1
14:06::56 [recv] set Path:1
14:06::56 [recv] set Path:1
14:06::56 [recv] set Path:1
14:06::57 [send] set path enable
14:06::59 [recv] set Path:1
14:06::59 [recv] set Path:1
14:06::59 [recv] set Path:1
14:06::59 [recv] set Path:1
14:06::59 [recv] set Path:1
14:06::59 [recv] set Path:1
14:06::59 [recv] set Path:1
14:06::59 [recv] set Path:1
14:06::59 [recv] set Path:1
14:06::59 [recv] set Path:1
14:06::59 [recv] set Path:1
14:07::00 [send] set path enable
14:07::02 [recv] set Path:1
14:07::02 [recv] set Path:1
14:07::02 [recv] set Path:1
14:07::02 [recv] set Path:1
14:07::02 [recv] set Path:1
14:07::02 [recv] set Path:1
14:07::02 [recv] set Path:1
14:07::02 [recv] set Path:1
14:07::02 [recv] set Path:1
14:07::02 [recv] set Path:1
14:07::02 [recv] set Path:1
14:07::03 [send] set path enable
14:07::06 [recv] set Path:1
14:07::06 [recv] set Path:1
14:07::06 [recv] set Path:1
14:07::06 [recv] set Path:1
14:07::06 [recv] set Path:1
14:07::06 [recv] set Path:1
14:07::06 [recv] set Path:1
14:07::06 [recv] set Path:1
