21:50::34 [init] AGV: 1 Online
21:50::34 [init] Mac: 1234567809
21:50::34 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
21:50::34 [recv] pos:(5079,13961,0)
21:50::34 [recv] pos:(5079,13961,0)
21:50::35 [recv] pos:(5079,13961,0)
21:50::35 [recv] pos:(5079,13961,0)
21:50::36 [recv] pos:(5079,13961,0)
21:50::36 [recv] pos:(5079,13961,0)
21:50::37 [recv] pos:(5079,13961,0)
21:50::38 [recv] pos:(5079,13961,0)
21:50::38 [recv] pos:(5079,13961,0)
21:50::39 [recv] pos:(5079,13961,0)
21:50::39 [recv] pos:(5079,13961,0)
21:50::40 [recv] pos:(5079,13961,0)
21:50::40 [recv] pos:(5079,13961,0)
21:50::41 [recv] pos:(5079,13961,0)
21:50::41 [recv] pos:(5079,13961,0)
21:50::42 [recv] pos:(5079,13961,0)
21:50::42 [recv] pos:(5079,13961,0)
21:50::43 [recv] pos:(5079,13961,0)
21:50::43 [recv] pos:(5079,13961,0)
21:50::44 [recv] pos:(5079,13961,0)
21:50::45 [recv] pos:(5079,13961,0)
21:50::45 [recv] pos:(5079,13961,0)
21:50::46 [recv] pos:(5079,13961,0)
21:50::46 [recv] pos:(5079,13961,0)
21:50::47 [recv] pos:(5079,13961,0)
21:50::47 [recv] pos:(5079,13961,0)
21:50::48 [recv] pos:(5079,13961,0)
21:50::48 [recv] pos:(5079,13961,0)
21:50::49 [recv] pos:(5079,13961,0)
21:50::50 [recv] pos:(5079,13961,0)
21:50::50 [recv] pos:(5079,13961,0)
21:50::51 [recv] pos:(5079,13961,0)
21:50::51 [recv] pos:(5079,13961,0)
21:50::52 [recv] pos:(5079,13961,0)
21:50::52 [recv] pos:(5079,13961,0)
21:50::53 [recv] pos:(5079,13961,0)
21:50::53 [recv] pos:(5079,13961,0)
21:50::54 [recv] pos:(5079,13961,0)
21:50::54 [recv] pos:(5079,13961,0)
21:50::55 [recv] pos:(5079,13961,0)
21:50::56 [recv] pos:(5079,13961,0)
21:50::56 [recv] pos:(5079,13961,0)
21:50::57 [recv] pos:(5079,13961,0)
21:50::57 [recv] pos:(5079,13961,0)
21:50::58 [recv] pos:(5079,13961,0)
21:50::58 [recv] pos:(5079,13961,0)
21:50::59 [recv] pos:(5079,13961,0)
21:50::59 [recv] pos:(5079,13961,0)
21:51::00 [recv] pos:(5079,13961,0)
21:51::00 [recv] pos:(5079,13961,0)
21:51::01 [recv] pos:(5079,13961,0)
21:51::01 [recv] pos:(5079,13961,0)
21:51::02 [recv] pos:(5079,13961,0)
21:51::02 [recv] pos:(5079,13961,0)
21:51::03 [recv] pos:(5079,13961,0)
21:51::03 [recv] pos:(5079,13961,0)
21:51::04 [recv] pos:(5079,13961,0)
21:51::05 [recv] pos:(5079,13961,0)
21:51::05 [recv] pos:(5079,13961,0)
21:51::06 [recv] pos:(5079,13961,0)
21:51::06 [recv] pos:(5079,13961,0)
21:51::07 [recv] pos:(5079,13961,0)
21:51::07 [recv] pos:(5079,13961,0)
21:51::08 [recv] pos:(5079,13961,0)
21:51::08 [recv] pos:(5079,13961,0)
21:51::09 [recv] pos:(5079,13961,0)
21:51::09 [recv] pos:(5079,13961,0)
21:51::10 [recv] pos:(5079,13961,0)
21:51::10 [recv] pos:(5079,13961,0)
21:51::11 [recv] pos:(5079,13961,0)
21:51::11 [recv] pos:(5079,13961,0)
21:51::12 [recv] pos:(5079,13961,0)
21:51::13 [recv] pos:(5079,13961,0)
21:51::13 [recv] pos:(5079,13961,0)
21:51::14 [recv] pos:(5079,13961,0)
21:51::14 [recv] pos:(5079,13961,0)
21:51::15 [recv] pos:(5079,13961,0)
21:51::15 [recv] pos:(5079,13961,0)
21:51::16 [recv] pos:(5079,13961,0)
21:51::16 [recv] pos:(5079,13961,0)
21:51::17 [recv] pos:(5079,13961,0)
21:51::17 [recv] pos:(5079,13961,0)
21:51::18 [recv] pos:(5079,13961,0)
21:51::18 [recv] pos:(5079,13961,0)
21:51::19 [recv] pos:(5079,13961,0)
21:51::19 [recv] pos:(5079,13961,0)
21:51::20 [recv] pos:(5079,13961,0)
21:51::20 [recv] pos:(5079,13961,0)
21:51::21 [recv] pos:(5079,13961,0)
21:51::22 [recv] pos:(5079,13961,0)
21:51::22 [recv] pos:(5079,13961,0)
21:51::23 [recv] pos:(5079,13961,0)
21:51::23 [recv] pos:(5079,13961,0)
21:51::24 [recv] pos:(5079,13961,0)
21:51::24 [recv] pos:(5079,13961,0)
21:51::25 [recv] pos:(5079,13961,0)
21:51::25 [recv] pos:(5079,13961,0)
21:51::26 [recv] pos:(5079,13961,0)
21:51::26 [recv] pos:(5079,13961,0)
21:51::27 [recv] pos:(5079,13961,0)
21:51::27 [recv] pos:(5079,13961,0)
21:51::28 [recv] pos:(5079,13961,0)
