23:29::33 [init] AGV: 1 Online
23:29::33 [init] Mac: 1234567809
23:29::33 [init] Power param: FullLimit=0,HighLimit=0,LowLimit=0
23:29::52 [recv] state= 0 0 0 0
23:29::52 [proc] match:-1
23:29::52 [recv] set Path:1
23:29::57 [recv] pos:(5079,13961,0)
23:29::57 [send] set path enable
23:29::58 [send] set path enable
23:29::58 [send] set path enable
23:29::59 [send] set path enable
23:29::59 [send] set path enable
23:30::00 [send] set path enable
23:30::00 [send] set path enable
23:30::01 [send] set path enable
23:30::01 [send] set path enable
23:30::02 [send] set path enable
23:30::02 [send] set path enable
23:30::03 [send] set path enable
23:30::03 [send] set path enable
23:30::04 [send] set path enable
23:30::05 [send] set path enable
23:30::05 [send] set path enable
23:30::06 [send] set path enable
23:30::06 [send] set path enable
23:30::07 [send] set path enable
23:30::07 [send] set path enable
23:30::08 [send] set path enable
23:30::08 [send] set path enable
23:30::09 [send] set path enable
23:30::09 [send] set path enable
23:30::10 [send] set path enable
23:30::10 [send] set path enable
23:30::11 [send] set path enable
23:30::11 [send] set path enable
23:30::12 [send] set path enable
23:30::12 [send] set path enable
23:30::13 [send] set path enable
23:30::14 [send] set path enable
23:30::14 [send] set path enable
23:30::15 [send] set path enable
23:30::15 [send] set path enable
23:30::16 [send] set path enable
23:30::16 [send] set path enable
23:30::17 [send] set path enable
23:30::17 [send] set path enable
23:30::18 [send] set path enable
23:30::18 [send] set path enable
23:30::19 [send] set path enable
23:30::19 [send] set path enable
23:30::20 [send] set path enable
23:30::20 [send] set path enable
23:30::21 [send] set path enable
23:30::22 [send] set path enable
23:30::22 [send] set path enable
23:30::23 [send] set path enable
23:30::23 [send] set path enable
23:30::24 [send] set path enable
23:30::24 [send] set path enable
23:30::25 [send] set path enable
23:30::25 [send] set path enable
23:30::26 [send] set path enable
23:30::26 [send] set path enable
23:30::27 [send] set path enable
23:30::27 [send] set path enable
23:30::28 [send] set path enable
23:30::28 [send] set path enable
23:30::29 [send] set path enable
23:30::29 [send] set path enable
23:30::30 [send] set path enable
23:30::31 [send] set path enable
23:30::31 [send] set path enable
23:30::32 [send] set path enable
23:30::32 [send] set path enable
23:30::33 [send] set path enable
23:30::33 [send] set path enable
23:30::34 [send] set path enable
23:30::34 [send] set path enable
23:30::35 [send] set path enable
23:30::35 [send] set path enable
23:30::36 [send] set path enable
23:30::36 [send] set path enable
23:30::37 [send] set path enable
23:30::37 [send] set path enable
